Drink_type,Heating_level,Observation,Time_in_seconds
Juice,High,1,160
Juice,High,2,155
Juice,High,3,144
Juice,High,4,177
Juice,High,5,161
Juice,Low,1,201
Juice,Low,2,205
Juice,Low,3,201
Juice,Low,4,212
Juice,Low,5,109
Beer,High,1,90
Beer,High,2,91
Beer,High,3,95
Beer,High,4,97
Beer,High,5,88
Beer,Low,1,111
Beer,Low,2,104
Beer,Low,3,124
Beer,Low,4,112
Beer,Low,5,111
Milk,High,1,105
Milk,High,2,109
Milk,High,3,110
Milk,High,4,116
Milk,High,5,100
Milk,Low,1,131
Milk,Low,2,142
Milk,Low,3,165
Milk,Low,4,124
Milk,Low,5,144
Water,High,1,121
Water,High,2,122
Water,High,3,119
Water,High,4,130
Water,High,5,127
Water,Low,1,181
Water,Low,2,189
Water,Low,3,185
Water,Low,4,188
Water,Low,5,175
